2014 QC3	1.26	0.37	37.6
-434633	1.26	0.36	22.9
2005 TS15	1.26	0.35	34
2004 FU4	1.26	0.26	23.3
-424482	1.26	0.24	5.7
-443806	1.26	0.25	26.4
2003 QH5	1.26	0.22	17.6
-417949	1.26	0.2	38.3
-374158	1.27	0.93	23.8
(3200) Phaethon	1.27	0.89	22.2
-5693	1.27	0.59	5.1
-267337	1.27	0.51	19.4
-6037	1.27	0.5	3.5
-175729	1.27	0.42	11.5
2006 XD2	1.27	0.43	3.6
-297300	1.27	0.41	16.1
2007 PV27	1.27	0.37	24.6
-303450	1.27	0.33	7.3
2013 FX7	1.27	0.31	5.2
2010 KB61	1.27	0.23	44.6
2013 VO5	1.28	0.69	2
-331876	1.28	0.54	13.3
-357022	1.28	0.33	34.5
-275677	1.28	0.32	17.1
-451157	1.28	0.28	4
2008 VB1	1.28	0.28	10.3
2004 QX2	1.29	0.9	19
2010 XB24	1.29	0.44	5.5
2004 TP1	1.29	0.39	7.5
(2102) Tantalus	1.29	0.3	64
2011 BT15	1.29	0.3	1.7
2013 NJ	1.29	0.28	3.9
-375103	1.29	0.28	49.8
-371660	1.29	0.27	7.6
2011 JR13	1.3	0.73	24.7
2005 EA	1.3	0.64	14.1
-387668	1.3	0.43	22.9
-375054	1.3	0.42	25.6
-163026	1.3	0.37	11.9
-208115	1.3	0.35	23.3
(85585) Mjolnir	1.3	0.36	4.1
2014 WG365	1.3	0.33	25.1
2014 SR339	1.3	0.3	29.8
-382406	1.31	0.78	2.5
1999 VF22	1.31	0.74	3.9
2001 HB	1.31	0.69	9.3
2015 PM	1.31	0.63	7.5
1999 JZ10	1.31	0.47	25.9
2015 RE36	1.31	0.39	0.1
-445305	1.31	0.29	25.6
-390929	1.31	0.22	18.8
-162783	1.31	0.23	7.3
-420210	1.28	0.23	10.6
1999 JE1	1.32	0.7	20.9
2002 UK11	1.32	0.58	5.4
-67381	1.32	0.54	10.7
-410627	1.32	0.44	13.1
-349068	1.32	0.43	38.2
-162922	1.32	0.38	10.3
2010 AF30	1.32	0.37	3.1
2012 XD112	1.32	0.37	3.7
2016 AZ8	1.32	0.35	5.6
-414990	1.32	0.34	1.9
-68216	1.32	0.33	18
(25143) Itokawa	1.32	0.28	1.6
2000 CM33	1.32	0.27	11.6
2015 DP155	1.32	0.22	5.4
2005 PA5	1.32	0.23	15.3
2009 VQ44	1.33	0.72	29.6
2012 XA133	1.33	0.7	4.1
2008 AZ30	1.33	0.65	2.3
-454101	1.33	0.63	6.9
2005 OX	1.33	0.62	7.6
2000 KA	1.33	0.46	6.7
-454100	1.33	0.42	4.5
2015 XE352	1.33	0.39	2
2005 GD60	1.33	0.37	9.9
2008 XB1	1.33	0.37	12.7
-154019	1.33	0.36	5
-153002	1.34	0.8	31.5
-170903	1.34	0.6	8.3
-221980	1.34	0.4	21.6
-408792	1.34	0.38	9.6
2012 LR1	1.34	0.38	42.3
-163249	1.34	0.33	7
-13651	1.34	0.31	17.2
2015 CV13	1.34	0.29	13
2011 MU	1.35	0.66	7.3
-152685	1.35	0.57	0.1
-140158	1.35	0.46	2.5
-7482	1.35	0.33	33.5
2011 WL15	1.35	0.28	18.4
2014 NJ65	1.35	0.25	9.7
-363024	1.36	0.43	14
2007 TH1	1.36	0.42	20.1
2014 NG65	1.36	0.39	8.3
2011 EJ47	1.36	0.36	13.3
2001 SG286	1.36	0.35	7.8
-187040	1.36	0.32	6
-357594	1.36	0.28	27.3
-89136	1.36	0.25	1.9
-276033	1.37	0.92	15.5
-388188	1.37	0.78	11.8
-405212	1.37	0.73	5
-277570	1.37	0.62	4.1
2014 QX432	1.37	0.59	6.4
2013 RZ73	1.37	0.53	25.1
2009 WO106	1.37	0.39	17.3
-185851	1.37	0.38	8.7
-189040	1.37	0.38	13.1
-163364	1.37	0.37	4.2
2014 MK55	1.37	0.37	2.9
-361754	1.37	0.36	21.9
2008 HH	1.37	0.36	16.3
2014 GG17	1.37	0.35	39.2
2000 SL10	1.37	0.34	1.5
2013 EM20	1.37	0.32	8.4
-53789	1.37	0.27	40.8
-357028	1.38	0.61	9.2
2011 EG17	1.38	0.42	20.1
-264993	1.38	0.41	3.1
-332446	1.38	0.41	8.9
2004 CO49	1.38	0.39	4.3
-382758	1.38	0.32	4.7
-162510	1.38	0.3	38.2
-453729	1.38	0.28	20.4
2015 AR45	1.39	0.7	9.2
-302831	1.39	0.54	25.8
1998 SL36	1.39	0.42	19.2
2015 FC35	1.39	0.39	15.5
2001 LD	1.39	0.36	29.5
-65717	1.39	0.28	2.8
2011 SM68	1.4	0.66	19.2
1998 XD12	1.4	0.62	13.5
-317255	1.4	0.57	6.4
2005 WC1	1.4	0.49	20
-85774	1.4	0.33	13.6
-189865	1.41	0.81	21.6
2000 QV7	1.41	0.52	9.1
2014 YW34	1.41	0.43	6
-382825	1.41	0.39	30
2013 WR43	1.41	0.37	5.9
2009 VZ	1.41	0.33	12.3
-292220	1.41	0.31	2.5
-304330	1.41	0.31	21
-177049	1.42	0.61	0.6
2003 ED50	1.42	0.55	33.7
2004 PJ2	1.42	0.34	2.6
2015 BN311	1.42	0.32	16.8
2009 SN	1.42	0.32	26.2
-139622	1.42	0.31	9.3
2008 WN2	1.42	0.31	3.7
-144332	1.42	0.29	55.9
2003 AA3	1.42	0.29	13.8
2016 AH193	1.43	0.77	17.9
2000 DO1	1.43	0.68	3.5
2005 TU50	1.43	0.6	12.4
2005 LW3	1.43	0.46	6.1
-450263	1.43	0.41	16.7
-367789	1.43	0.39	3.7
2012 TF53	1.43	0.37	6.1
-65690	1.43	0.36	11.2
2006 UL217	1.43	0.35	9.9
2004 SW55	1.43	0.33	8.8
-450270	1.43	0.33	18.7
2009 ES	1.43	0.33	30.3
2014 AY28	1.43	0.28	5.7
(4450) Pan	1.44	0.59	5.5
2009 VW	1.44	0.56	7.2
-35396	1.44	0.48	4.1
2007 AV2	1.44	0.47	12.3
-152560	1.44	0.4	3.4
2014 UQ56	1.44	0.32	39.9
2016 AO164	1.44	0.3	10.5
-412983	1.44	0.29	5.8
-194268	1.45	0.79	5.4
2003 UV11	1.45	0.76	5.9
2004 XK50	1.45	0.69	38.2
-152680	1.45	0.64	10.9
1999 SG10	1.45	0.61	23.6
-152561	1.45	0.49	19.6
-401856	1.45	0.48	24.3
2003 CR1	1.45	0.46	12.7
-194006	1.45	0.42	4.3
-192563	1.45	0.41	24.8
2013 TR132	1.45	0.36	32
-173561	1.45	0.31	28
2009 DZ	1.45	0.3	14.1
2015 EO61	1.46	0.73	2
2009 HA21	1.46	0.73	6.4
-137108	1.46	0.56	39.9
2007 DL41	1.46	0.48	4.7
2004 VB	1.46	0.41	10.9
2012 BN11	1.46	0.39	4.4
-265196	1.46	0.38	15.2
2004 BV1	1.46	0.37	12.2
-230549	1.46	0.36	13.1
-446862	1.46	0.35	4.2
-418135	1.46	0.34	16
-171839	1.46	0.31	17.1
2009 DL46	1.46	0.31	7.9
2010 TH19	1.46	0.31	6.8
2013 AN20	1.46	0.3	23.1
2011 XA3	1.47	0.93	28
2013 KN6	1.47	0.85	23.6
(1862) Apollo	1.47	0.56	6.4
2011 CX46	1.47	0.55	7.8
-163373	1.47	0.55	1.7
2001 HZ7	1.47	0.5	5.4
-7753	1.47	0.48	3.1
